C01,R01|C02,R01|C03,R01|C04,R01|C05,R01|C06,R01|C07,R01|C08,R01|C09,R01|C10,R01|C11,R01|C12,R01|C13,R01|C14,R01|C15,R01|C16,R01|C17,R01|C18,R01|C19,R01|C20,R01
C01,R02|C02,R02|C03,R02|C04,R02|C05,R02|C06,R02|C07,R02|C08,R02|C09,R02|C10,R02|C11,R02|C12,R02|C13,R02|C14,R02|C15,R02|C16,R02|C17,R02|C18,R02|C19,R02|C20,R02
C01,R03|C02,R03|C03,R03|C04,R03|C05,R03|C06,R03|C07,R03|C08,R03|C09,R03|C10,R03|C11,R03|C12,R03|C13,R03|C14,R03|C15,R03|C16,R03|C17,R03|C18,R03|C19,R03|C20,R03
C01,R04|C02,R04|C03,R04|C04,R04|C05,R04|C06,R04|C07,R04|C08,R04|C09,R04|C10,R04|C11,R04|C12,R04|C13,R04|C14,R04|C15,R04|C16,R04|C17,R04|C18,R04|C19,R04|C20,R04
C01,R05|C02,R05|C03,R05|C04,R05|C05,R05|C06,R05|C07,R05|C08,R05|C09,R05|C10,R05|C11,R05|C12,R05|C13,R05|C14,R05|C15,R05|C16,R05|C17,R05|C18,R05|C19,R05|C20,R05
C01,R06|C02,R06|C03,R06|C04,R06|C05,R06|C06,R06|C07,R06|C08,R06|C09,R06|C10,R06|C11,R06|C12,R06|C13,R06|C14,R06|C15,R06|C16,R06|C17,R06|C18,R06|C19,R06|C20,R06
C01,R07|C02,R07|C03,R07|C04,R07|C05,R07|C06,R07|C07,R07|C08,R07|C09,R07|C10,R07|C11,R07|C12,R07|C13,R07|C14,R07|C15,R07|C16,R07|C17,R07|C18,R07|C19,R07|C20,R07
C01,R08|C02,R08|C03,R08|C04,R08|C05,R08|C06,R08|C07,R08|C08,R08|C09,R08|C10,R08|C11,R08|C12,R08|C13,R08|C14,R08|C15,R08|C16,R08|C17,R08|C18,R08|C19,R08|C20,R08
C01,R09|C02,R09|C03,R09|C04,R09|C05,R09|C06,R09|C07,R09|C08,R09|C09,R09|C10,R09|C11,R09|C12,R09|C13,R09|C14,R09|C15,R09|C16,R09|C17,R09|C18,R09|C19,R09|C20,R09
C01,R10|C02,R10|C03,R10|C04,R10|C05,R10|C06,R10|C07,R10|C08,R10|C09,R10|C10,R10|C11,R10|C12,R10|C13,R10|C14,R10|C15,R10|C16,R10|C17,R10|C18,R10|C19,R10|C20,R10
C01,R11|C02,R11|C03,R11|C04,R11|C05,R11|C06,R11|C07,R11|C08,R11|C09,R11|C10,R11|C11,R11|C12,R11|C13,R11|C14,R11|C15,R11|C16,R11|C17,R11|C18,R11|C19,R11|C20,R11
C01,R12|C02,R12|C03,R12|C04,R12|C05,R12|C06,R12|C07,R12|C08,R12|C09,R12|C10,R12|C11,R12|C12,R12|C13,R12|C14,R12|C15,R12|C16,R12|C17,R12|C18,R12|C19,R12|C20,R12
C01,R13|C02,R13|C03,R13|C04,R13|C05,R13|C06,R13|C07,R13|C08,R13|C09,R13|C10,R13|C11,R13|C12,R13|C13,R13|C14,R13|C15,R13|C16,R13|C17,R13|C18,R13|C19,R13|C20,R13
C01,R14|C02,R14|C03,R14|C04,R14|C05,R14|C06,R14|C07,R14|C08,R14|C09,R14|C10,R14|C11,R14|C12,R14|C13,R14|C14,R14|C15,R14|C16,R14|C17,R14|C18,R14|C19,R14|C20,R14
C01,R15|C02,R15|C03,R15|C04,R15|C05,R15|C06,R15|C07,R15|C08,R15|C09,R15|C10,R15|C11,R15|C12,R15|C13,R15|C14,R15|C15,R15|C16,R15|C17,R15|C18,R15|C19,R15|C20,R15
C01,R16|C02,R16|C03,R16|C04,R16|C05,R16|C06,R16|C07,R16|C08,R16|C09,R16|C10,R16|C11,R16|C12,R16|C13,R16|C14,R16|C15,R16|C16,R16|C17,R16|C18,R16|C19,R16|C20,R16
C01,R17|C02,R17|C03,R17|C04,R17|C05,R17|C06,R17|C07,R17|C08,R17|C09,R17|C10,R17|C11,R17|C12,R17|C13,R17|C14,R17|C15,R17|C16,R17|C17,R17|C18,R17|C19,R17|C20,R17
C01,R18|C02,R18|C03,R18|C04,R18|C05,R18|C06,R18|C07,R18|C08,R18|C09,R18|C10,R18|C11,R18|C12,R18|C13,R18|C14,R18|C15,R18|C16,R18|C17,R18|C18,R18|C19,R18|C20,R18
C01,R19|C02,R19|C03,R19|C04,R19|C05,R19|C06,R19|C07,R19|C08,R19|C09,R19|C10,R19|C11,R19|C12,R19|C13,R19|C14,R19|C15,R19|C16,R19|C17,R19|C18,R19|C19,R19|C20,R19
C01,R20|C02,R20|C03,R20|C04,R20|C05,R20|C06,R20|C07,R20|C08,R20|C09,R20|C10,R20|C11,R20|C12,R20|C13,R20|C14,R20|C15,R20|C16,R20|C17,R20|C18,R20|C19,R20|C20,R20
